hgncid,uniprot_id,protein_names,targetclass,go_function
SYT7,O43581,Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII),Other,NA
CD2,P06729,T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Receptor_all_others,NA
CRISP2,P16562,Cysteine-rich secretory protein 2 (CRISP-2) (Cancer/testis antigen 36) (CT36) (Testis-specific protein TPX-1),Extracellular Ligand,NA
MARK4,Q96L34,MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1),Kinase_Protein,protein kinase activity; protein serine/threonine kinase activity; microtubule binding; cytoskeletal protein binding; tubulin binding; gamma-tubulin binding; tau-protein kinase activity
CA14,Q9ULX7,Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV),Enzyme_all_others,carbonate dehydratase activity; lyase activity; carbon-oxygen lyase activity; hydro-lyase activity
TFG,Q92734,Protein TFG (TRK-fused gene protein),Other,"""NA"""
PTGER1,P34995,Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor),7TM_Group1,NA
ZNF79,Q15937,Zinc finger protein 79 (ZNFpT7),Transcriptional_Factor_all_others,NA
SEC61A2,Q9H9S3,Protein transport protein Sec61 subunit alpha isoform 2 (Sec61 alpha-2),Other,NA
ATF7IP,Q6VMQ6,Activating transcription factor 7-interacting protein 1 (ATF-interacting protein) (ATF-IP) (ATF7-interacting protein) (ATFa-associated modulator) (hAM) (MBD1-containing chromatin-associated factor 1) (P621),Transcriptional_Factor_all_others,"""NA"""
ANKRD34B,A5PLL1,Ankyrin repeat domain-containing protein 34B,Other,NA
GSX2,Q9BZM3,GS homeobox 2 (Genetic-screened homeobox 2) (Homeobox protein GSH-2),Transcriptional_Factor_all_others,NA
KCTD2,Q14681,BTB/POZ domain-containing protein KCTD2 (Potassium channel tetramerization domain-containing protein 2),Other,NA
PCCB,P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)",Enzyme_all_others,"""NA"""
ABCG4,Q9H172,ATP-binding cassette sub-family G member 4,Transporter,lipid transporter activity; sterol transporter activity; cholesterol transporter activity; protein heterodimerization activity
C22orf34,Q6ZV56,Uncharacterized protein C22orf34,Other,"""NA"""
B3GALNT1,O75752,"UDP-Galnac:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-Galnac-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)",Enzyme_Transferase,"UDP-glycosyltransferase activity; acetylgalactosaminyltransferase activity; transferase activity, transferring glycosyl groups; transferase activity, transferring hexosyl groups; galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity"
ZDHHC13,Q8IUH4,Palmitoyltransferase ZDHHC13 (EC 2.3.1.225) (Huntingtin-interacting protein 14-related protein) (HIP14-related protein) (Huntingtin-interacting protein HIP3RP) (Putative MAPK-activating protein PM03) (Putative NF-kappa-B-activating protein 209) (Zinc finger DHHC domain-containing protein 13) (DHHC-13),Enzyme_Transferase,NA
ACE,P12821,"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]",Protease,"G protein-coupled receptor binding; endopeptidase activity; drug binding; peptidase activity; metalloexopeptidase activity; serine-type peptidase activity; metallopeptidase activity; exopeptidase activity; tripeptidyl-peptidase activity; peptidyl-dipeptidase activity; zinc ion binding; dipeptidase activity; serine hydrolase activity; kinase binding; protein kinase binding; chloride ion binding; mitogen-activated protein kinase kinase binding; bradykinin receptor binding; metal ion binding; transition metal ion binding; mitogen-activated protein kinase binding; peptidase activity, acting on L-amino acid peptides; metallodipeptidase activity"
RIBC2,Q9H4K1,RIB43A-like with coiled-coils protein 2,Other,"""NA"""
ZNF831,Q5JPB2,Zinc finger protein 831,Transcriptional_Factor_all_others,NA
MOSPD2,Q8NHP6,Motile sperm domain-containing protein 2,Other,"""NA"""
AKR1C3,P42330,"Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)",Enzyme_all_others,"retinal dehydrogenase activity; alditol:NADP+ 1-oxidoreductase activity; aldo-keto reductase (NADP) activity; monooxygenase activity; retinol dehydrogenase activity; alcohol dehydrogenase (NADP+) activity; steroid dehydrogenase activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on the CH-CH group of donors; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on NAD(P)H; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; oxidoreductase activity, acting on the aldehyde or oxo group of donors; phenanthrene 9,10-monooxygenase activity; steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; dihydrotestosterone 17-beta-dehydrogenase activity; enone reductase activity; prostaglandin H2 endoperoxidase reductase activity; prostaglandin D2 11-ketoreductase activity; geranylgeranyl reductase activity; ketoreductase activity; 15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity; androsterone dehydrogenase activity; ketosteroid monooxygenase activity; delta4-3-oxosteroid 5beta-reductase activity; NADP-retinol dehydrogenase activity"
VPS35L,Q7Z3J2,UPF0505 protein C16orf62 (Esophageal cancer-associated protein),Other,"""NA"""
GOLGA8K,D6RF30,Golgin subfamily A member 8K,Other,NA
ITGB5,P18084,Integrin beta-5,Receptor_all_others,"""NA"""
GPR22,Q99680,Probable G-protein coupled receptor 22,7TM_Group1,"""NA"""
MRPL20,Q9BYC9,"39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20) (Mitochondrial large ribosomal subunit protein bL20m)",Other,"""NA"""
CTDP1,Q9Y5B0,Rna polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase),Enzyme_all_others,"RNA polymerase II transcription factor binding; RNA polymerase II basal transcription factor binding; TFIIF-class transcription factor complex binding; basal transcription machinery binding; basal RNA polymerase II transcription machinery binding; phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity; transcription factor binding; RNA polymerase II CTD heptapeptide repeat phosphatase activity; hydrolase activity, acting on ester bonds; phosphatase activity; Tat protein binding; phosphoric ester hydrolase activity"
NWD2,Q9ULI1,naCHT and WD repeat domain-containing protein 2 (Leucine-rich repeat and WD repeat-containing protein KIAA1239),Other,"""NA"""
MTHFD1,P11586,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]",Enzyme_all_others,"formate-tetrahydrofolate ligase activity; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity; oxidoreductase activity; oxidoreductase activity, acting on the CH-NH group of donors; oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines; ligase activity; ligase activity, forming carbon-nitrogen bonds; cyclohydrolase activity"
TNFRSF11A,Q9Y6Q6,Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265),Receptor_all_others,transmembrane signaling receptor activity; cytokine binding
IGFLR1,Q9H665,IGF-like family receptor 1 (Transmembrane protein 149) (U2 small nuclear Rna auxiliary factor 1-like 4),Receptor_all_others,NA
VIPAS39,Q9H9C1,Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction),Other,"""NA"""
P2RY13,Q9BPV8,P2Y purinoceptor 13 (P2Y13) (G-protein coupled receptor 86) (G-protein coupled receptor 94),7TM_Group1,NA
C4orf19,Q8IY42,Uncharacterized protein C4orf19,Other,NA
OSTC,Q9NRP0,Oligosaccharyltransferase complex subunit OSTC (Hydrophobic protein HSF-28),Enzyme_Transferase,"""NA"""
CCDC136,Q96JN2,Coiled-coil domain-containing protein 136 (nasopharyngeal carcinoma-associated gene 6 protein),Other,"""NA"""
CPXM1,Q96SM3,Probable carboxypeptidase X1 (EC 3.4.17.-) (Metallocarboxypeptidase CPX-1),Protease,"""NA"""
XPA,P23025,Dna repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein),Transcriptional_Factor_all_others,damaged DNA binding; protein domain specific binding
DNAJC10,Q8IXB1,DnaJ homolog subfamily C member 10 (EC 1.8.4.-) (Endoplasmic reticulum Dna J domain-containing protein 5) (ER-resident protein ERdj5) (ERdj5) (Macrothioredoxin) (MTHr),Other,"protein disulfide oxidoreductase activity; disulfide oxidoreductase activity; oxidoreductase activity; oxidoreductase activity, acting on a sulfur group of donors; Hsp70 protein binding; heat shock protein binding; chaperone binding; ATPase binding; misfolded protein binding"
EFHC2,Q5JST6,EF-hand domain-containing family member C2,Other,NA
CPT1C,Q8TCG5,"Carnitine O-palmitoyltransferase 1, brain isoform (CPT1-B) (EC 2.3.1.21) (CPT IC) (Carnitine O-palmitoyltransferase I, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C)",Enzyme_Transferase,"""NA"""
PLA2G7,Q13093,Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase),Enzyme_all_others,"1-alkyl-2-acetylglycerophosphocholine esterase activity; phospholipase activity; phospholipase A2 activity; phospholipid binding; lipid binding; lipase activity; hydrolase activity, acting on ester bonds; calcium-independent phospholipase A2 activity; carboxylic ester hydrolase activity"
IER3IP1,Q9Y5U9,Immediate early response 3-interacting protein 1,Other,NA
TNFSF13,O75888,Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand) (APRIL) (TNF- and APOL-related leukocyte expressed ligand 2) (TALL-2) (TNF-related death ligand 1) (TRDL-1) (CD antigen CD256),Extracellular Ligand,NA
COPS3,Q9UNS2,COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3),Other,NA
CD244,Q9BZW8,natural killer cell receptor 2B4 (NK cell activation-inducing ligand) (naIL) (NK cell type I receptor protein 2B4) (NKR2B4) (h2B4) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244),Receptor_all_others,MHC protein binding; MHC class I protein binding
FKBP7,Q9Y680,Peptidyl-prolyl cis-trans isomerase FKBP7 (PPIase FKBP7) (EC 5.2.1.8) (23 kDa FK506-binding protein) (23 kDa FKBP) (FKBP-23) (FK506-binding protein 7) (FKBP-7) (Rotamase),Other,NA
KIT,P10721,Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117),Kinase_Protein,"protein kinase activity; protein tyrosine kinase activity; transmembrane receptor protein tyrosine kinase activity; transmembrane signaling receptor activity; guanyl-nucleotide exchange factor activity; Ras guanyl-nucleotide exchange factor activity; Ras GTPase binding; transmembrane receptor protein kinase activity; cytokine binding; small GTPase binding; phosphatidylinositol 3-kinase activity; phosphatidylinositol-4,5-bisphosphate 3-kinase activity; GTPase binding; phosphatidylinositol bisphosphate kinase activity"
DCDC1,B6ZDN3,NA,Other,microtubule binding; cytoskeletal protein binding; tubulin binding
HSD11B2,P80365,Corticosteroid 11-beta-dehydrogenase isozyme 2 (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 2) (11-DH2) (11-beta-HSD2) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (naD-dependent 11-beta-hydroxysteroid dehydrogenase) (11-beta-HSD) (Short chain dehydrogenase/reductase family 9C member 3),Enzyme_all_others,"11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity; steroid dehydrogenase activity; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
ZNF396,Q96N95,Zinc finger protein 396 (Zinc finger and SCAN domain-containing protein 14),Transcriptional_Factor_all_others,"""NA"""
FSIP1,Q8NA03,Fibrous sheath-interacting protein 1,Other,NA
GAGE1,A0A158RFV5,NA,Other,NA
SETD5,Q9C0A6,SET domain-containing protein 5,Other,"""NA"""
SLC25A51,Q9H1U9,Solute carrier family 25 member 51 (Mitochondrial carrier triple repeat protein 1),Transporter,"""NA"""
HSD17B13,Q7Z5P4,17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 16C member 3) (Short-chain dehydrogenase/reductase 9),Enzyme_all_others,NA
FAM170B,A6NMN3,Protein FAM170B (Acrosome-related protein),Other,NA
DTNA,Q9Y4J8,Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3),Transcriptional_Factor_all_others,NA
PSMB10,P40306,Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i),Protease,"""NA"""
LARS2,Q15031,"Probable leucine--tRna ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRna synthetase) (LeuRS)",Enzyme_all_others,"aminoacyl-tRNA ligase activity; leucine-tRNA ligase activity; ligase activity; ligase activity, forming carbon-oxygen bonds; catalytic activity, acting on RNA; catalytic activity, acting on a tRNA"
